evidence_id,path,blob_sha,classification
CATALOG-PRODUCT-CONTROLLER,backend/domain/commerce/product-catalog-service/src/main/java/com/allinb2c/commerce/productcatalog/api/ProductController.java,5d1153964968cc4a51674833c808616bd51325e2,IMPLEMENTED_WITH_GAP
CATALOG-PRODUCT-SERVICE,backend/domain/commerce/product-catalog-service/src/main/java/com/allinb2c/commerce/productcatalog/service/ProductService.java,54b0cbc821d6480be31585254405a1d000e06b7a,IMPLEMENTED_WITH_GAP
CATALOG-PRODUCT-ENTITY,backend/domain/commerce/product-catalog-service/src/main/java/com/allinb2c/commerce/productcatalog/entity/ProductEntity.java,bad889f79bbcbb281e5f0afaec1360183b927b95,IMPLEMENTED_WITH_GAP
MARKETPLACE-CATALOG-MAPPING,backend/domain/commerce/marketplace-service/src/main/java/com/allinb2c/commerce/marketplace/catalog/CatalogProductEntity.java,5a78fddadc333c2b49458e3d8df7b60cb5580100,CONFLICT_REQUIRES_CANONICALIZATION
MARKETPLACE-ECOSYSTEM-DDL,backend/domain/commerce/marketplace-service/src/main/resources/db/migration/V8__phase_h_marketplace_ecosystem.sql,e3f04355db77b411a03d77ff1b7c7f20c1b96727,VERIFIED_IMPLEMENTED
MARKETPLACE-CATALOG-CONTROLLER,backend/domain/commerce/marketplace-service/src/main/java/com/allinb2c/commerce/marketplace/controller/ProductCatalogController.java,6b7a2675f1283e2fece8ca1a997d4deabd20126f,IMPLEMENTED_WITH_GAP
MARKETPLACE-CATALOG-SERVICE,backend/domain/commerce/marketplace-service/src/main/java/com/allinb2c/commerce/marketplace/service/ProductCatalogService.java,1d5c280c0e5086c5fd7ed34e944fe0cb782951df,IMPLEMENTED_WITH_GAP
TARGET-PRICE-CONTROLLER,backend/domain/commerce/pricing-service/src/main/java/com/allinb2c/commerce/pricing/controller/TargetPriceController.java,4dd2bf14a963a27d9a4276df4e55703d61dca56b,IMPLEMENTED_WITH_GAP
TARGET-PRICE-SERVICE,backend/domain/commerce/pricing-service/src/main/java/com/allinb2c/commerce/pricing/service/TargetPriceService.java,8e1dfde40c29a53dcae6cd4e72993a5c22595d19,IMPLEMENTED_WITH_GAP
SMART-PRICING-CONTROLLER,backend/domain/commerce/marketplace-service/src/main/java/com/allinb2c/commerce/marketplace/controller/SmartPricingController.java,20079cc399fcc65d9512715c50e339f183945045,IMPLEMENTED_WITH_GAP
SMART-PRICING-SERVICE,backend/domain/commerce/marketplace-service/src/main/java/com/allinb2c/commerce/marketplace/service/SmartPricingService.java,8be4df025c3836f5395284415149268a45ca69ef,IMPLEMENTED_WITH_GAP
CART-CONTROLLER,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/api/CartController.java,2f1f550db8296746b41f6e87eadf4899615fd0d3,IMPLEMENTED_WITH_CRITICAL_GAPS
CART-SERVICE,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/service/CartService.java,9f7194377156c248973ebb46a9507b4eb50f5060,IMPLEMENTED_WITH_CRITICAL_GAPS
CHECKOUT-CONTROLLER,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/api/CheckoutController.java,77cf28681bd107a6cc0227938328d18d86b1836e,IMPLEMENTED_WITH_CRITICAL_GAPS
ORDER-APPLICATION,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/service/OrderApplicationService.java,7fba54d4dfb94afcc8d2f575191d10ab95b3ff60,IMPLEMENTED_WITH_GAP
ORDER-ENTITY,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/entity/OrderEntity.java,1f3efa66e3830dc2c7e85866faab8cd8a604b552,IMPLEMENTED_WITH_CRITICAL_GAPS
ORDER-CRUD,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/service/OrderCrudService.java,df6182d7681f495b4ba7915adb46cc281fe56735,IMPLEMENTED_WITH_CRITICAL_GAPS
ORDER-WORKFLOW,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/service/OrderWorkflowService.java,925e9a08b779fa5bb3fae3e2fbc10417d1fdd930,IMPLEMENTED_WITH_CRITICAL_GAPS
ORDER-EVENT-PUBLISHER,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/event/OrderEventPublisher.java,2e845993a7a7f582bf29c5f5eca411419c28e98f,LOCAL_EVENT_ONLY
ORDER-ORCHESTRATOR,backend/domain/commerce/order-service/src/main/java/com/allinb2c/commerce/order/service/OrderWorkflowOrchestrator.java,85b7b03ac88825db7ad2862e2f0be311a63df015,PLANNED_NOT_IMPLEMENTED
LEGACY-FULFILMENT,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/service/FulfillmentService.java,9f7906ea15fb5b7717bc03dbc47d20c0b7c0b084,DEPRECATED_IMPLEMENTATION
PICK-PACK-SERVICE,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/service/PickPackService.java,b34fe872f1b365d1fe81bd42ea09f7262d030873,IMPLEMENTED_WITH_GAP
PICK-PACK-CONTROLLER,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/controller/PickPackController.java,19619f06c31753480139e2abb65669418e9006af,IMPLEMENTED_WITH_GAP
LAST-MILE-OPTIMIZER,backend/domain/fulfillment/warehouse-service/src/main/java/com/allinb2c/fulfillment/warehouse/routing/LastMileCarrierOptimizer.java,b937fc261f5f0b36017526b4e50087e3d18cc727,SIMULATED_REFERENCE_IMPLEMENTATION
RETURNS-CONTROLLER,backend/domain/commerce/returns-service/src/main/java/com/allinb2c/commerce/returns/controller/ReturnsController.java,1dfa9a38b5aa5ea897983f57a8677d5b98c46969,IMPLEMENTED_WITH_CRITICAL_GAPS
RETURNS-SERVICE,backend/domain/commerce/returns-service/src/main/java/com/allinb2c/commerce/returns/service/ReturnsService.java,56f7daeb6050444bcf661de67e59ee9789934478,IMPLEMENTED_WITH_CRITICAL_GAPS
